timestamp_utc,elapsed_sec,qt_license_srv,qt_license_wkr,qt_listen_srv,qt_listen_wkr,qt_commit_srv,qt_commit_wkr,qt_cache_other_srv,qt_cache_other_wkr,qt_empty_srv,qt_empty_wkr,appname_blank,appname_named,age_lt10s,age_10_30s,age_30_60s,age_60_300s,age_gt300s,top_query_count
"2026-05-15T05:37:22Z",0,24,0,2,0,3,0,3,1,0,0,41,0,9,10,21,0,1,24
"2026-05-15T05:37:53Z",31,27,0,2,0,6,0,3,1,0,0,51,0,13,2,11,24,1,28
"2026-05-15T05:38:24Z",62,31,0,2,0,5,0,3,1,0,0,50,0,5,2,8,34,1,31
"2026-05-15T05:38:55Z",93,35,0,2,0,8,0,2,1,0,0,59,0,11,2,3,42,1,35
"2026-05-15T05:39:26Z",124,28,0,2,0,6,0,2,1,0,0,47,0,5,2,3,36,1,28
"2026-05-15T05:39:57Z",155,60,0,2,0,9,0,2,1,0,0,85,0,6,34,5,39,1,60
"2026-05-15T05:40:28Z",186,62,0,2,0,7,0,2,1,0,0,82,0,0,5,31,45,1,62
"2026-05-15T05:40:59Z",217,58,0,2,0,8,0,3,1,0,0,83,0,10,9,1,62,1,58
"2026-05-15T05:41:30Z",248,62,0,2,0,8,0,2,1,0,0,83,0,0,7,12,63,1,62
"2026-05-15T05:42:01Z",279,69,0,2,0,11,0,3,1,0,0,97,0,4,10,4,64,12,69
"2026-05-15T05:42:32Z",310,73,0,2,0,11,0,3,1,0,0,98,0,1,9,10,63,15,73
"2026-05-15T05:43:03Z",341,78,0,2,0,14,0,3,1,0,0,106,0,1,12,5,67,21,78
"2026-05-15T05:43:34Z",372,76,0,2,0,7,0,2,1,0,0,97,0,1,20,4,61,11,76
"2026-05-15T05:44:05Z",403,80,0,2,0,10,0,3,1,0,0,104,0,1,10,17,65,11,80
"2026-05-15T05:44:36Z",434,84,0,2,0,10,0,3,1,0,0,108,0,1,9,7,55,36,84
"2026-05-15T05:45:07Z",465,88,0,2,0,13,0,3,1,0,0,115,0,1,11,5,53,45,88
"2026-05-15T05:45:38Z",496,94,0,2,0,14,0,2,1,0,0,121,0,2,8,8,58,45,94
"2026-05-15T05:46:09Z",527,104,0,2,0,17,0,2,1,0,0,134,0,0,16,7,53,58,104
"2026-05-15T05:46:40Z",558,111,0,2,0,17,0,2,1,0,0,141,0,3,7,13,53,65,111
"2026-05-15T05:47:11Z",589,115,0,2,0,20,0,3,1,0,0,149,0,1,10,6,61,71,115
"2026-05-15T05:47:42Z",620,120,0,2,0,20,0,3,1,0,0,154,0,2,8,7,65,72,120
"2026-05-15T05:48:13Z",651,124,0,2,0,23,0,3,1,0,0,161,0,3,9,5,69,75,124
"2026-05-15T05:48:44Z",682,142,0,2,0,23,0,3,1,0,0,179,0,3,19,8,57,92,142
"2026-05-15T05:49:15Z",713,146,0,2,0,26,0,3,1,0,0,186,0,6,5,18,58,99,146
"2026-05-15T05:49:46Z",744,14,0,2,0,0,0,3,1,0,0,29,0,14,11,0,0,1,14
"2026-05-15T05:50:18Z",776,27,0,2,0,3,0,3,1,0,0,44,0,5,19,19,0,1,27
"2026-05-15T05:50:49Z",807,22,0,2,0,2,0,3,1,0,0,38,0,7,1,15,15,1,23
"2026-05-15T05:51:20Z",838,19,0,2,0,4,0,2,1,0,0,36,0,6,6,1,22,1,19
"2026-05-15T05:51:51Z",869,23,0,2,0,4,0,3,1,0,0,41,0,7,1,9,23,1,23
"2026-05-15T05:52:22Z",900,27,0,2,0,7,0,3,1,0,0,48,0,9,1,7,30,1,27
"2026-05-15T05:52:53Z",931,32,0,2,0,10,0,2,1,0,0,58,0,12,3,5,37,1,32
"2026-05-15T05:53:24Z",962,36,0,2,0,10,0,3,1,0,0,60,0,6,2,9,42,1,36
"2026-05-15T05:53:55Z",993,38,0,2,0,12,0,3,1,0,0,67,0,12,6,1,47,1,38
"2026-05-15T05:54:26Z",1024,42,0,2,0,12,0,2,1,0,0,67,0,7,2,11,46,1,42
"2026-05-15T05:54:57Z",1055,46,0,2,0,15,0,3,1,0,0,78,0,10,5,5,38,20,46
"2026-05-15T05:55:28Z",1086,50,0,2,0,15,0,2,1,0,0,78,0,2,2,11,43,20,50
"2026-05-15T05:55:59Z",1117,39,0,2,0,13,0,3,1,0,0,69,0,12,9,1,37,10,39
"2026-05-15T05:56:30Z",1148,43,0,2,0,13,0,3,1,0,0,70,0,1,7,12,37,13,43
"2026-05-15T05:57:01Z",1179,47,0,2,0,16,0,2,1,0,0,76,0,0,10,4,44,18,47
"2026-05-15T05:57:32Z",1210,51,0,2,0,16,0,3,1,0,0,81,0,1,9,7,41,23,51
"2026-05-15T05:58:03Z",1241,55,0,2,0,19,0,3,1,0,0,88,0,1,11,5,43,28,55
"2026-05-15T05:58:34Z",1272,59,0,2,0,19,0,3,1,0,0,92,0,1,7,8,48,28,59
"2026-05-15T05:59:05Z",1303,62,0,2,0,19,0,2,1,0,0,94,0,0,16,1,41,36,62
"2026-05-15T05:59:36Z",1334,66,0,2,0,19,0,3,1,0,0,99,0,1,9,12,41,36,66
"2026-05-15T06:00:07Z",1365,73,0,2,0,22,0,3,1,0,0,109,0,1,14,5,44,45,73
"2026-05-15T06:00:38Z",1396,77,0,2,0,22,0,3,1,0,0,113,0,1,7,8,48,49,77
"2026-05-15T06:01:09Z",1427,82,0,2,0,21,0,3,1,0,0,117,0,1,15,4,43,54,82
"2026-05-15T06:01:40Z",1458,87,0,2,0,21,0,3,1,0,0,122,0,2,7,12,43,58,87
"2026-05-15T06:02:11Z",1489,91,0,2,0,24,0,3,1,0,0,129,0,1,10,5,49,64,91
"2026-05-15T06:02:42Z",1520,95,0,2,0,24,0,3,1,0,0,133,0,1,9,7,51,65,95
"2026-05-15T06:03:13Z",1551,99,0,2,0,27,0,3,1,0,0,140,0,2,10,5,55,68,99
"2026-05-15T06:03:44Z",1582,103,0,2,0,27,0,3,1,0,0,144,0,2,6,8,55,73,103
"2026-05-15T06:04:15Z",1613,70,0,2,0,19,0,3,1,0,0,103,0,2,18,4,27,52,70
"2026-05-15T06:04:46Z",1644,78,0,2,0,19,0,3,1,0,0,111,0,5,7,16,27,56,78
"2026-05-15T06:05:17Z",1675,82,0,2,0,22,0,3,1,0,0,118,0,2,9,7,41,59,82
"2026-05-15T06:05:48Z",1706,89,0,2,0,23,0,3,1,0,0,126,0,5,6,7,47,61,89
"2026-05-15T06:06:19Z",1737,97,0,2,0,26,0,2,1,0,0,136,0,5,8,8,48,67,97
"2026-05-15T06:06:51Z",1769,101,0,2,0,26,0,2,1,0,0,140,0,5,4,9,50,72,101
"2026-05-15T06:07:22Z",1800,105,0,2,0,29,0,2,1,0,0,147,0,5,3,8,57,74,105
"2026-05-15T06:07:53Z",1831,110,0,2,0,32,0,3,1,0,0,159,0,15,2,4,62,76,110
"2026-05-15T06:08:24Z",1862,114,0,3,0,33,0,3,1,0,0,164,0,11,1,9,66,77,114
"2026-05-15T06:08:55Z",1893,10,0,2,0,8,0,3,1,0,0,35,0,20,14,0,0,1,10
"2026-05-15T06:09:26Z",1924,20,0,2,0,3,0,2,1,0,0,36,0,7,15,13,0,1,20
"2026-05-15T06:09:57Z",1955,24,0,2,0,6,0,3,1,0,0,47,0,13,2,18,13,1,24
"2026-05-15T06:10:28Z",1986,25,0,2,0,6,0,3,1,0,0,45,0,3,2,8,31,1,25
"2026-05-15T06:10:59Z",2017,24,0,2,0,7,0,3,1,0,0,48,0,15,4,0,28,1,24
"2026-05-15T06:11:30Z",2048,25,0,2,0,7,0,3,1,0,0,46,0,3,2,12,28,1,25
"2026-05-15T06:12:01Z",2079,30,0,2,0,10,0,3,1,0,0,57,0,12,3,1,40,1,30
"2026-05-15T06:12:32Z",2110,24,0,2,0,13,0,3,1,0,0,51,0,1,14,6,29,1,24
"2026-05-15T06:13:03Z",2141,28,0,2,0,16,0,3,1,0,0,58,0,1,11,6,39,1,28
"2026-05-15T06:13:34Z",2172,29,0,2,0,16,0,3,1,0,0,58,0,4,2,8,44,1,29
"2026-05-15T06:14:05Z",2203,36,0,2,0,19,0,3,1,0,0,69,0,5,11,1,36,16,36
"2026-05-15T06:14:36Z",2234,33,0,2,0,15,0,3,1,0,0,62,0,4,8,7,27,16,33
"2026-05-15T06:15:07Z",2265,39,0,2,0,24,0,3,1,0,0,77,0,1,21,7,30,18,39
"2026-05-15T06:15:38Z",2296,40,0,2,0,25,0,3,1,0,0,79,0,2,5,17,37,18,40
"2026-05-15T06:16:09Z",2327,50,0,2,0,28,0,3,1,0,0,92,0,1,16,3,47,25,50
