timestamp_utc,elapsed_sec,cpu_pct,temp_c,load_1m,load_5m,load_15m,ram_pct,idle_total,idle_server,idle_worker,idle_other,active_total,idle_in_tx,delta_idle,event,notes
"2026-05-15T05:37:22Z",0,2,51,3.91,1.90,1.08,24,41,34,7,0,1,0,0,"",""
"2026-05-15T05:37:27Z",5,4,48,3.38,1.85,1.07,24,41,34,7,0,1,0,0,"",""
"2026-05-15T05:37:32Z",10,2,47,3.27,1.86,1.08,24,41,34,7,0,1,0,0,"",""
"2026-05-15T05:37:37Z",15,3,53,3.01,1.82,1.07,24,41,34,7,0,1,0,0,"",""
"2026-05-15T05:37:42Z",20,2,47,2.77,1.79,1.07,24,42,35,7,0,1,0,1,"",""
"2026-05-15T05:37:48Z",26,2,55,2.63,1.78,1.07,24,42,35,7,0,1,0,0,"",""
"2026-05-15T05:37:53Z",31,25,60,2.58,1.78,1.07,24,48,41,7,0,1,0,6,"",""
"2026-05-15T05:37:58Z",36,1,52,2.37,1.75,1.07,24,51,44,7,0,1,0,3,"",""
"2026-05-15T05:38:03Z",41,2,47,2.18,1.72,1.06,24,48,41,7,0,1,0,-3,"",""
"2026-05-15T05:38:08Z",46,14,52,2.08,1.71,1.06,24,52,45,7,0,1,0,4,"",""
"2026-05-15T05:38:13Z",51,15,48,1.92,1.68,1.05,24,53,46,7,0,2,0,1,"",""
"2026-05-15T05:38:19Z",57,1,52,1.76,1.66,1.05,24,50,43,7,0,1,0,-3,"",""
"2026-05-15T05:38:24Z",62,3,47,1.62,1.63,1.04,24,50,43,7,0,1,0,0,"",""
"2026-05-15T05:38:29Z",67,2,47,1.49,1.60,1.04,24,50,43,7,0,1,0,0,"",""
"2026-05-15T05:38:34Z",72,2,47,1.37,1.57,1.03,24,50,43,7,0,1,0,0,"",""
"2026-05-15T05:38:39Z",77,2,51,1.26,1.55,1.02,24,51,44,7,0,1,0,1,"",""
"2026-05-15T05:38:45Z",83,2,55,1.24,1.54,1.02,24,51,44,7,0,1,0,0,"",""
"2026-05-15T05:38:50Z",88,4,57,1.14,1.51,1.02,24,51,44,7,0,1,0,0,"",""
"2026-05-15T05:38:55Z",93,1,61,1.45,1.57,1.04,24,59,52,7,0,1,0,8,"",""
"2026-05-15T05:39:00Z",98,0,53,1.33,1.54,1.03,24,59,52,7,0,1,0,0,"",""
"2026-05-15T05:39:05Z",103,16,56,1.23,1.52,1.03,24,57,50,7,0,1,0,-2,"",""
